# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_exon_variant	variants_effect_protein_protein_contact	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABHD13	ENSG00000139826	ENST00000375898	protein_coding	0	0	0	10	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5
AC003104.1	ENSG00000236194	ENST00000436061	sense_intronic	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AC008079.9	ENSG00000187979	ENST00000434390	antisense	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
AC008132.1	ENSG00000182824	ENST00000342888	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC008132.13	ENSG00000161103	ENST00000412938	processed_transcript	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	ENSG00000223579	ENST00000414550	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC011718.2	ENSG00000223579	ENST00000577456	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC103686.1	ENSG00000211562	ENST00000390136	miRNA	0	0	0	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ADA	ENSG00000196839	ENST00000372874	protein_coding	2	4	3	20	0	0	0	0	0	22	3	0	0	0	0	1	2	1	0	0	3	0
ADA	ENSG00000196839	ENST00000464097	processed_transcript	0	0	0	27	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	5
ADA	ENSG00000196839	ENST00000492931	processed_transcript	1	2	0	26	0	0	0	0	0	22	0	7	0	0	0	1	2	0	0	0	0	0
ADA	ENSG00000196839	ENST00000535573	processed_transcript	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
ADA	ENSG00000196839	ENST00000536076	processed_transcript	0	2	0	14	0	0	0	9	0	4	0	3	0	0	0	0	2	0	0	0	0	0
ADA	ENSG00000196839	ENST00000536532	nonsense_mediated_decay	3	3	1	22	1	0	0	0	0	23	1	0	0	0	0	1	2	1	1	0	2	0
ADA	ENSG00000196839	ENST00000537820	protein_coding	2	3	3	21	0	0	0	0	0	23	3	0	0	0	0	1	2	1	0	0	2	0
ADA	ENSG00000196839	ENST00000539235	nonsense_mediated_decay	2	2	1	24	4	0	0	0	0	22	1	0	0	0	0	1	2	1	0	0	1	0
ADA	ENSG00000196839	ENST00000545776	retained_intron	0	2	0	14	0	0	0	9	0	4	0	3	0	0	0	0	2	0	0	0	0	0
AK2	ENSG00000004455	ENST00000354858	protein_coding	1	10	2	22	0	1	3	9	0	5	2	0	1	9	0	0	0	0	0	0	0	5
